19:00:46.810497 ,inicio ,0
19:00:47.658139 , fim, 0
19:00:47.760072 ,inicio ,1
19:00:48.372184 , fim, 1
19:00:48.475780 ,inicio ,2
19:00:49.099551 , fim, 2
19:00:49.203969 ,inicio ,3
19:00:50.261599 , fim, 3
19:00:50.363544 ,inicio ,4
19:00:50.976980 , fim, 4
19:00:51.079242 ,inicio ,5
19:00:51.779079 , fim, 5
19:00:51.881087 ,inicio ,6
19:00:52.694911 , fim, 6
19:00:52.797296 ,inicio ,7
19:00:53.598759 , fim, 7
19:00:53.700829 ,inicio ,8
19:00:54.766643 , fim, 8
19:00:54.869072 ,inicio ,9
19:00:55.505890 , fim, 9
19:00:55.608324 ,inicio ,10
19:00:56.241644 , fim, 10
