20:53:59.013358 ,inicio ,0
20:53:59.616944 , fim, 0
20:53:59.718568 ,inicio ,1
20:54:00.314148 , fim, 1
20:54:00.415776 ,inicio ,2
20:54:01.012907 , fim, 2
20:54:01.114569 ,inicio ,3
20:54:01.713089 , fim, 3
20:54:01.814609 ,inicio ,4
20:54:02.415134 , fim, 4
20:54:02.516764 ,inicio ,5
20:54:03.130759 , fim, 5
20:54:03.232545 ,inicio ,6
20:54:04.283606 , fim, 6
20:54:04.385173 ,inicio ,7
20:54:04.993581 , fim, 7
20:54:05.095224 ,inicio ,8
20:54:05.687204 , fim, 8
20:54:05.788883 ,inicio ,9
20:54:06.835728 , fim, 9
20:54:06.937458 ,inicio ,10
20:54:07.543308 , fim, 10
